Date,Close
20241030,5837.93
20241031,5901.29
20241101,5831.82
20241104,5928.91
20241105,6111.97
20241106,6125.79
20241107,6239.56
20241108,6222.45
20241111,6330.62
20241112,6263.88
20241113,6259.84
20241114,6078.31
20241115,5924.48
20241118,5833.04
20241119,5936.60
20241120,5992.39
20241121,5985.31
20241122,5750.25
20241125,5735.65
20241126,5690.48
20241127,5804.94
20241128,5757.60
20241129,5851.94
20241202,5943.62
20241203,5932.12
20241204,5879.27
20241205,5901.99
20241206,5979.20
20241209,5947.11
20241210,5992.09
20241211,6047.11
20241212,6100.39
20241213,5988.29
20241216,5912.60
20241217,5848.16
20241218,5888.62
20241219,5901.92
20241220,5917.18
20241223,5818.55
20241224,5895.26
20241225,5840.29
20241226,5887.06
20241227,5899.17
20241230,5898.88
20241231,5725.73
20250102,5545.82
20250103,5427.80
20250106,5427.10
20250107,5484.68
20250108,5461.59
20250109,5456.59
20250110,5369.28
20250113,5381.70
20250114,5572.27
20250115,5522.46
20250116,5545.63
20250117,5587.29
20250120,5614.33
20250121,5633.92
20250122,5607.06
20250123,5584.25
20250124,5649.95
20250127,5589.34
20250205,5614.39
20250206,5747.90
20250207,5833.99
20250210,5888.55
20250211,5858.28
20250212,5940.53
20250213,5898.26
20250214,5947.80
20250217,5948.72
20250218,5840.71
20250219,5943.88
20250220,5957.55
20250221,6057.06
20250224,6044.97
20250225,5979.97
20250226,6051.74
20250227,6028.99
20250228,5859.87
20250303,5885.77
20250304,5937.63
20250305,5950.70
20250306,6047.77
20250307,6013.77
